Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling
2022-02-05,XYZ,Grocery,795744.350990192,4101.791,5,1,0,5,0,0,0.41602300688692107,221154914.3396641,419304.4207309235,561957.219,581321.0,587805.2473043131
2022-02-05,XYZ,Household,347448.80404,1318.0,5,1,0,5,0,0,-0.5633662952081924,221502363.14370412,419304.4207309235,795744.350990192,846335.324,516535.7444528846
2022-02-06,ABC,Beverages,247720.047,1243.0,6,1,0,6,0,0,-0.28703151624179646,221750083.1907041,430633.82457928616,347448.80404,374594.44598,498410.8303128846
2022-02-06,ABC,Grocery,580909.57191,2803.912,6,1,0,6,0,0,1.3450244699412641,222330992.7626141,430633.82457928616,247720.047,546261.05709,503360.61814431316
2022-02-06,ABC,Household,342663.581996,1227.0,6,1,0,6,0,0,-0.4101257776329279,222673656.3446101,430633.82457928616,580909.57191,677446.82807,455534.44013374177
2022-02-06,XYZ,Beverages,363262.35302,1474.0,6,1,0,6,0,0,0.0601136861525029,223036918.6976301,430633.82457928616,342663.581996,312297.506,462815.13256517035
2022-02-06,XYZ,Grocery,889385.83205,4635.546,6,1,0,6,0,0,1.448329216215349,223926304.5296801,430633.82457928616,363262.35302,561957.219,509590.6487151704
2022-02-06,XYZ,Household,368229.032005,1462.0,6,1,0,6,0,0,-0.5859738049163137,224294533.56168512,430633.82457928616,889385.83205,795744.350990192,448517.0317172858
2022-02-07,ABC,Beverages,243357.28414,1405.0,0,0,0,7,0,0,-0.3391143473535363,224537890.8458251,354874.90183043893,368229.032005,347448.80404,433646.8145887143
2022-02-07,ABC,Grocery,654743.905964,3207.82,0,0,0,7,0,0,1.6904635638000265,225192634.7517891,354874.90183043893,243357.28414,247720.047,491793.08015500003
