Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling,Profile,Size
2022-01-29,ABC,Household,349645.83788,1236.0,5,1,0,29,0,0,-0.3664247752810609,199961894.1224819,419304.4207309235,551861.60102,464186.114,393983.5634128571,1,1
2022-01-29,XYZ,Beverages,337437.0,1255.0,5,1,0,29,0,0,-0.0349177269033876,200299331.1224819,419304.4207309235,349645.83788,290746.99899,400653.5635571428,2,2
2022-01-29,XYZ,Grocery,667129.626,3539.002,5,1,0,29,0,0,0.9770494225588776,200966460.7484819,419304.4207309235,337437.0,513057.0,422663.9387,2,2
2022-01-29,XYZ,Household,311037.0,1205.0,5,1,0,29,0,0,-0.533768269496699,201277497.7484819,419304.4207309235,667129.626,583466.776,383745.3992714286,2,2
2022-01-30,ABC,Beverages,196153.95,923.0,6,1,0,30,0,0,-0.3693549320498847,201473651.6984819,430633.82457928616,311037.0,255565.0,375258.1064142858,1,1
2022-01-30,ABC,Grocery,585570.03698,2869.215,6,1,0,30,0,0,1.9852574316244969,202059221.7354619,430633.82457928616,196153.95,213541.73,428405.00741142855,1,1
2022-01-30,ABC,Household,323308.26797,1170.0,6,1,0,30,0,0,-0.4478742976033752,202382530.0034319,430633.82457928616,585570.03698,551861.60102,395754.5312614286,1,1
2022-01-30,XYZ,Beverages,239877.764,1048.0,6,1,0,30,0,0,-0.2580524911838677,202622407.76743189,430633.82457928616,323308.26797,349645.83788,380073.37785,2,2
2022-01-30,XYZ,Grocery,756342.462,4040.207,6,1,0,30,0,0,2.153032817164329,203378750.2294319,430633.82457928616,239877.764,337437.0,439917.0152785714,2,2
2022-01-30,XYZ,Household,312510.762,1298.0,6,1,0,30,0,0,-0.5868131465558257,203691260.9914319,430633.82457928616,756342.462,667129.626,389257.1775642857,2,2
2022-01-31,ABC,Beverages,204687.95101,887.0,0,0,0,31,0,1,-0.3450211131928954,203895948.94244188,354874.90183043893,312510.762,311037.0,374064.45628,1,1
2022-01-31,ABC,Grocery,542643.931,2603.874,0,0,0,31,0,1,1.6510790123327252,204438592.87344187,354874.90183043893,204687.95101,196153.95,423563.0249942857,1,1
2022-01-31,ABC,Household,314800.26999,1115.0,0,0,0,31,0,1,-0.4198769174293041,204753393.14343187,354874.90183043893,542643.931,585570.03698,384881.62971,1,1
2022-01-31,XYZ,Beverages,179122.36501,791.0,0,0,0,31,0,1,-0.4309967872146677,204932515.50844187,354874.90183043893,314800.26999,323308.26797,364283.64357285714,2,2
2022-01-31,XYZ,Grocery,563043.734,2996.909,0,0,0,31,0,1,2.1433469180052787,205495559.24244183,354874.90183043893,179122.36501,239877.764,410450.2107157143,2,2
2022-01-31,XYZ,Household,269010.675,1141.0,0,0,0,31,0,1,-0.5222206397913667,205764569.91744187,354874.90183043893,563043.734,756342.462,340831.3840014285,2,2
2022-02-01,ABC,Beverages,427627.8291,1672.0,1,0,0,1,1,0,0.5896314490121999,206192197.7465419,376486.0646607745,269010.675,312510.762,357276.6793014285,1,1
2022-02-01,ABC,Grocery,724896.269996,3482.128,1,0,0,1,1,0,0.6951569113769822,206917094.01653787,376486.0646607745,427627.8291,204687.95101,431592.15344228566,1,1
2022-02-01,ABC,Household,364019.0,1363.0,1,0,0,1,1,0,-0.4978329796040905,207281113.01653787,376486.0646607745,724896.269996,542643.931,406074.3061565714,1,1
2022-02-01,XYZ,Beverages,268295.03401,1152.0,1,0,0,1,1,0,-0.2629642023905345,207549408.05054787,376486.0646607745,364019.0,314800.26999,399430.7010165714,2,2
2022-02-01,XYZ,Grocery,777378.278006,4131.394,1,0,0,1,1,0,1.89747546343711,208326786.32855383,376486.0646607745,268295.03401,179122.36501,484895.8314445714,2,2
2022-02-01,XYZ,Household,343766.40399,1340.0,1,0,0,1,1,0,-0.557787484271143,208670552.73254383,376486.0646607745,777378.278006,563043.734,453570.498586,2,2
2022-02-02,ABC,Beverages,443960.459,1652.0,2,0,0,2,0,0,0.2914597059138872,209114513.19154385,375731.7458731569,343766.40399,269010.675,478563.3248717143,1,1
2022-02-02,ABC,Grocery,636533.876996,3256.287,2,0,0,2,0,0,0.4337625436953609,209751047.06853983,375731.7458731569,443960.459,427627.8291,508407.0459997143,1,1
2022-02-02,ABC,Household,363869.99298,1432.0,2,0,0,2,0,0,-0.4283572231894162,210114917.06151983,375731.7458731569,636533.876996,724896.269996,456831.86356885714,1,1
2022-02-02,XYZ,Beverages,379689.474,1392.0,2,0,0,2,0,0,0.0434756405452469,210494606.53551987,375731.7458731569,363869.99298,364019.0,459070.5027117143,2,2
